name,rank,reviews,tag,price
"
Scarlett Cafe & Wine Bar
",1,565,"French,Bar,European,Wine Bar,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
La Brata
",2,231,"Italian,Mediterranean,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Bistecca Italian Steak House
",3,509,"Italian,Steakhouse,Vegan Options,Gluten Free Options",$$ - $$$
"
Capo
",4,726,"Italian,Pizza,Mediterranean,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Gaddi's
",5,256,"French,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Man Wah
",6,491,"Chinese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Cafe Gray Deluxe
",7,1324,"International,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Komune
",8,190,"European,Asian,South American,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Tin Lung Heen
",9,1226,"Chinese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
The Lounge & Bar
",10,720,"International,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
DiVino Wine Bar & Restaurant
",11,361,"Italian,European,Wine Bar,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Amber
",12,989,"Contemporary,French,Vegetarian Friendly,Vegan Options",$$$$
"
Braza Churrascaria Brazilian Steakhouse
",13,832,"Steakhouse,Brazilian,Barbecue,South American,Gluten Free Options",$$ - $$$
"
Gough's on Gough
",14,139,"European,British,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Mandarin Grill + Bar at Mandarin Oriental, Hong Kong
",15,658,"European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Twenty Six by Liberty
",16,179,"Contemporary,European,International",$$$$
"
Little Bao
",17,439,"Asian,International,Fusion,Vegetarian Friendly",$$ - $$$
"
Tosca
",18,1024,"Italian,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
M Bar - Mandarin Oriental, Hong Kong
",19,167,Bar,$$$$
"
Pierre
",20,357,"French,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
The Pier - Cathay Pacific Lounge
",21,175,"Bar,Asian,Vegetarian Friendly,Vegan Options",$$$$
"
VEA Restaurant and Lounge
",22,132,"European,Asian,Vegetarian Friendly,Gluten Free Options",$$$$
"
Uma Nota
",23,207,"Street Food,Japanese,Brazilian,Latin,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
DiVino Patio
",24,382,"Italian,European,Wine Bar,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Caprice (Central)
",25,784,"French,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Clipper Lounge
",26,490,"International,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Town
",27,189,"European,International,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Yan Toh Heen (InterContinental Hong Kong)
",28,587,"Chinese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Dynasty
",29,280,"Chinese,Asian,Gluten Free Options",$$$$
"
Lobby Lounge (InterContinental Hong Kong)
",30,572,"Bar,Healthy,International,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Mott 32
",81,1077,"Chinese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
China Club
",82,278,"Chinese,Asian,Vegetarian Friendly,Vegan Options",$$$$
"
Monogamous
",83,292,"Chinese,Asian,Vegetarian Friendly,Vegan Options",$$ - $$$
"
Aqua Luna
",84,149,,
"
Sky Lounge
",85,279,"Bar,International,Wine Bar,Vegetarian Friendly",$$ - $$$
"
Grand Hyatt Steakhouse (Grand Hyatt Hong Kong)
",86,251,"Steakhouse,Gluten Free Options",$$$$
"
Cafe 103
",87,409,"Seafood,Cafe,International,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Kitchen (W Hotel Hong Kong)
",88,598,"European,Asian,International,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
La Creperie (Sheung Wan)
",89,287,"French,European,Vegetarian Friendly,Gluten Free Options",$$ - $$$
"
CE LA VI Restaurant
",90,321,"Japanese,Asian,Fusion,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
The Optimist
",91,371,"Spanish,Mediterranean,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Imasa
",92,111,"Japanese,Sushi,Asian,Vegetarian Friendly,Vegan Options",$$$$
"
OZONE
",93,3366,"Bar,Vegetarian Friendly,Gluten Free Options",$$$$
"
Ju Xing Home
",94,82,"Chinese,Seafood,Asian,Vegetarian Friendly,Vegan Options",$$ - $$$
"
Tokyolima
",95,191,"Japanese,Peruvian,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Spring Moon
",96,340,"Chinese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
22 Ships
",97,546,"European,Spanish,Contemporary,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
GREEN
",98,249,"European,Contemporary,Fusion,Vegetarian Friendly,Gluten Free Options",$$ - $$$
"
Bo Innovation
",99,452,"Chinese,Asian",$$$$
"
Wooloomooloo Steakhouse (Wan Chai)
",100,1025,"Steakhouse,Australian,Gluten Free Options",$$$$
"
Mistral - Passionately Italian
",101,201,"Italian,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
NOBU (InterContinental Hong Kong)
",102,982,"Japanese,Seafood,Sushi,Healthy,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Chachawan
",103,382,"Asian,Thai,Vegetarian Friendly,Gluten Free Options",$$ - $$$
"
Gaucho
",104,274,"Steakhouse,Latin,Argentinian,Gluten Free Options",$$$$
"
Tiffin Lounge (Grand Hyatt Hong Kong)
",105,203,"International,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
The Globe
",106,282,"Gastropub,Bar,British,Pub,Contemporary,Vegetarian Friendly",$$ - $$$
"
Sangeetha Vegetarian Restaurant Hong Kong
",107,287,"Indian,Asian,Vegetarian Friendly,Vegan Options",$$ - $$$
"
Sang Kee Congee Shop
",108,466,"Chinese,Asian",$
"
Hutong
",109,1743,"Chinese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$$$
"
Fang Fang
",110,131,"Chinese,Japanese,Sushi,Asian,Contemporary,Vegan Options,Vegetarian Friendly,Gluten Free Options",$$ - $$$
"
Ye Shanghai
",161,297,"Chinese,Asian,Vegetarian Friendly",$$$$
"
Rech by Alain Ducasse
",162,110,"French,Seafood,European,Vegetarian Friendly,Gluten Free Options",$$$$
"
Ye Shanghai (Marco Polo Hong Kong Hotel)
",163,272,"Chinese,Asian,Vegetarian Friendly",$$$$
"
Kowloon Taproom
",164,116,"Bar,Pub",$$ - $$$
"
Palm Court Lounge
",165,101,"European,British",$$$$
"
Chesa
",166,160,"Swiss,European,Vegetarian Friendly,Gluten Free Options",$$$$
"
Lau Sum Kee Noodles
",167,137,"Chinese,Fast food,Asian",$
"
Wagyu
",168,357,"Steakhouse,International,European",$$ - $$$
"
DimDimSum Dim Sum Specialty Store (Mong Kok)
",169,723,"Chinese,Asian",$
